market_id,regime,demand_intercept,demand_slope,marginal_costs,price,quantity,ps,cs,dwl,sw,difference_between_a_and_MC,mean_dwl
34,Совершенная конкуренция,732,6,327,327.0,67.5,0.0,13668.75,0.0,13668.75,405,2757.4866666666667
35,Монополия,932,8,247,589.5,42.8125,14663.28125,7331.640625,7331.64,21994.921875,685,2492.937307692308
35,Совершенная конкуренция,932,8,247,247.0,85.625,0.0,29326.5625,0.0,29326.5625,685,2492.937307692308
36,Монополия,438,3,315,376.5,20.5,1260.75,630.375,630.38,1891.125,123,6940.681
36,Совершенная конкуренция,438,3,315,315.0,41.0,0.0,2521.5,0.0,2521.5,123,6940.681
37,Монополия,914,6,298,606.0,51.333333333333336,15810.666666666666,7905.333333333333,7905.33,23716.0,616,2757.4866666666667
37,Совершенная конкуренция,914,6,298,298.0,102.66666666666669,0.0,31621.33333333333,0.0,31621.33333333333,616,2757.4866666666667
38,Монополия,896,1,229,562.5,333.5,111222.25,55611.125,55611.12,166833.375,667,15410.390909090907
38,Совершенная конкуренция,896,1,229,229.0,667.0,0.0,222444.5,0.0,222444.5,667,15410.390909090907
39,Монополия,566,4,192,379.0,46.75,8742.25,4371.125,4371.12,13113.375,374,2732.777307692308
39,Совершенная конкуренция,566,4,192,192.0,93.5,0.0,17484.5,0.0,17484.5,374,2732.777307692308
40,Монополия,778,4,288,533.0,61.25,15006.25,7503.125,7503.12,22509.375,490,2732.777307692308
40,Совершенная конкуренция,778,4,288,288.0,122.5,0.0,30012.5,0.0,30012.5,490,2732.777307692308
41,Монополия,499,9,142,320.5,19.83333333333333,3540.25,1770.125,1770.12,5310.375,357,2026.6143749999999
41,Совершенная конкуренция,499,9,142,142.0,39.66666666666666,0.0,7080.5,0.0,7080.5,357,2026.6143749999999
42,Монополия,854,2,275,564.5,144.75,41905.125,20952.5625,20952.56,62857.6875,579,5586.831
42,Совершенная конкуренция,854,2,275,275.0,289.5,0.0,83810.25,0.0,83810.25,579,5586.831
43,Монополия,820,3,128,474.0,115.33333333333331,39905.333333333336,19952.666666666668,19952.67,59858.0,692,6940.681
43,Совершенная конкуренция,820,3,128,128.0,230.66666666666663,0.0,79810.66666666667,0.0,79810.66666666667,692,6940.681
44,Монополия,612,4,294,453.0,39.75,6320.25,3160.125,3160.12,9480.375,318,2732.777307692308
44,Совершенная конкуренция,612,4,294,294.0,79.5,0.0,12640.5,0.0,12640.5,318,2732.777307692308
45,Монополия,440,9,288,364.0,8.444444444444445,641.7777777777778,320.8888888888889,320.89,962.6666666666669,152,2026.6143749999999
45,Совершенная конкуренция,440,9,288,288.0,16.88888888888889,0.0,1283.5555555555557,0.0,1283.5555555555557,152,2026.6143749999999
46,Монополия,982,8,125,553.5,53.5625,22951.53125,11475.765625,11475.77,34427.296875,857,2492.937307692308
46,Совершенная конкуренция,982,8,125,125.0,107.125,0.0,45903.0625,0.0,45903.0625,857,2492.937307692308
47,Монополия,667,1,327,497.0,170.0,28900.0,14450.0,14450.0,43350.0,340,15410.390909090907
47,Совершенная конкуренция,667,1,327,327.0,340.0,0.0,57800.0,0.0,57800.0,340,15410.390909090907
48,Монополия,935,3,224,579.5,118.5,42126.75,21063.375,21063.38,63190.125,711,6940.681
48,Совершенная конкуренция,935,3,224,224.0,237.0,0.0,84253.5,0.0,84253.5,711,6940.681
49,Монополия,806,8,336,571.0,29.375,6903.125,3451.5625,3451.56,10354.6875,470,2492.937307692308
49,Совершенная конкуренция,806,8,336,336.0,58.75,0.0,13806.25,0.0,13806.25,470,2492.937307692308
50,Монополия,867,1,112,489.5,377.5,142506.25,71253.125,71253.12,213759.375,755,15410.390909090907
50,Совершенная конкуренция,867,1,112,112.0,755.0,0.0,285012.5,0.0,285012.5,755,15410.390909090907
51,Монополия,855,8,153,504.0,43.875,15400.125,7700.0625,7700.06,23100.1875,702,2492.937307692308
51,Совершенная конкуренция,855,8,153,153.0,87.75,0.0,30800.25,0.0,30800.25,702,2492.937307692308
52,Монополия,516,3,248,382.0,44.66666666666666,5985.333333333333,2992.6666666666665,2992.67,8978.0,268,6940.681
52,Совершенная конкуренция,516,3,248,248.0,89.33333333333333,0.0,11970.666666666666,0.0,11970.666666666666,268,6940.681
53,Монополия,618,9,156,387.0,25.666666666666668,5929.0,2964.5,2964.5,8893.5,462,2026.6143749999999
53,Совершенная конкуренция,618,9,156,156.0,51.333333333333336,0.0,11858.0,0.0,11858.0,462,2026.6143749999999
54,Монополия,680,3,198,439.0,80.33333333333333,19360.33333333333,9680.166666666666,9680.17,29040.5,482,6940.681
54,Совершенная конкуренция,680,3,198,198.0,160.66666666666666,0.0,38720.66666666666,0.0,38720.66666666666,482,6940.681
55,Монополия,698,4,298,498.0,50.0,10000.0,5000.0,5000.0,15000.0,400,2732.777307692308
55,Совершенная конкуренция,698,4,298,298.0,100.0,0.0,20000.0,0.0,20000.0,400,2732.777307692308
56,Монополия,426,6,143,284.5,23.58333333333333,3337.0416666666665,1668.5208333333333,1668.52,5005.5625,283,2757.4866666666667
56,Совершенная конкуренция,426,6,143,143.0,47.16666666666666,0.0,6674.083333333333,0.0,6674.083333333333,283,2757.4866666666667
57,Монополия,727,2,303,515.0,106.0,22472.0,11236.0,11236.0,33708.0,424,5586.831
57,Совершенная конкуренция,727,2,303,303.0,212.0,0.0,44944.0,0.0,44944.0,424,5586.831
58,Монополия,492,6,131,311.5,30.08333333333333,5430.041666666667,2715.020833333333,2715.02,8145.0625,361,2757.4866666666667
58,Совершенная конкуренция,492,6,131,131.0,60.16666666666666,0.0,10860.083333333334,0.0,10860.083333333334,361,2757.4866666666667
59,Монополия,846,5,152,499.0,69.4,24081.8,12040.9,12040.9,36122.7,694,3511.906363636364
59,Совершенная конкуренция,846,5,152,152.0,138.8,0.0,48163.6,0.0,48163.6,694,3511.906363636364
60,Монополия,809,8,276,542.5,33.3125,8877.78125,4438.890625,4438.89,13316.671875,533,2492.937307692308
60,Совершенная конкуренция,809,8,276,276.0,66.625,0.0,17755.5625,0.0,17755.5625,533,2492.937307692308
61,Монополия,953,9,338,645.5,34.166666666666664,10506.25,5253.125,5253.12,15759.375,615,2026.6143749999999
61,Совершенная конкуренция,953,9,338,338.0,68.33333333333333,0.0,21012.5,0.0,21012.5,615,2026.6143749999999
62,Монополия,846,6,151,498.5,57.91666666666666,20126.041666666668,10063.020833333334,10063.02,30189.0625,695,2757.4866666666667
62,Совершенная конкуренция,846,6,151,151.0,115.83333333333331,0.0,40252.083333333336,0.0,40252.083333333336,695,2757.4866666666667
63,Монополия,619,4,189,404.0,53.75,11556.25,5778.125,5778.12,17334.375,430,2732.777307692308
63,Совершенная конкуренция,619,4,189,189.0,107.5,0.0,23112.5,0.0,23112.5,430,2732.777307692308
64,Монополия,980,4,377,678.5,75.375,22725.5625,11362.78125,11362.78,34088.34375,603,2732.777307692308
64,Совершенная конкуренция,980,4,377,377.0,150.75,0.0,45451.125,0.0,45451.125,603,2732.777307692308
65,Монополия,646,4,396,521.0,31.25,3906.25,1953.125,1953.12,5859.375,250,2732.777307692308
65,Совершенная конкуренция,646,4,396,396.0,62.5,0.0,7812.5,0.0,7812.5,250,2732.777307692308
66,Монополия,595,8,274,434.5,20.0625,3220.03125,1610.015625,1610.02,4830.046875,321,2492.937307692308
66,Совершенная конкуренция,595,8,274,274.0,40.125,0.0,6440.0625,0.0,6440.0625,321,2492.937307692308
67,Монополия,943,3,234,588.5,118.16666666666669,41890.083333333336,20945.041666666668,20945.04,62835.125,709,6940.681
67,Совершенная конкуренция,943,3,234,234.0,236.33333333333331,0.0,83780.16666666667,0.0,83780.16666666667,709,6940.681
68,Монополия,622,2,204,413.0,104.5,21840.5,10920.25,10920.25,32760.75,418,5586.831
68,Совершенная конкуренция,622,2,204,204.0,209.0,0.0,43681.0,0.0,43681.0,418,5586.831
69,Монополия,445,4,283,364.0,20.25,1640.25,820.125,820.12,2460.375,162,2732.777307692308
69,Совершенная конкуренция,445,4,283,283.0,40.5,0.0,3280.5,0.0,3280.5,162,2732.777307692308
70,Монополия,681,1,277,479.0,202.0,40804.0,20402.0,20402.0,61206.0,404,15410.390909090907
70,Совершенная конкуренция,681,1,277,277.0,404.0,0.0,81608.0,0.0,81608.0,404,15410.390909090907
71,Монополия,877,1,188,532.5,344.5,118680.25,59340.125,59340.12,178020.375,689,15410.390909090907
71,Совершенная конкуренция,877,1,188,188.0,689.0,0.0,237360.5,0.0,237360.5,689,15410.390909090907
72,Монополия,513,1,106,309.5,203.5,41412.25,20706.125,20706.12,62118.375,407,15410.390909090907
72,Совершенная конкуренция,513,1,106,106.0,407.0,0.0,82824.5,0.0,82824.5,407,15410.390909090907
73,Монополия,677,7,145,411.0,38.0,10108.0,5054.0,5054.0,15162.0,532,1823.4855555555555
73,Совершенная конкуренция,677,7,145,145.0,76.0,0.0,20216.0,0.0,20216.0,532,1823.4855555555555
74,Монополия,477,7,387,432.0,6.428571428571429,289.2857142857143,144.64285714285714,144.64,433.9285714285714,90,1823.4855555555555
74,Совершенная конкуренция,477,7,387,387.0,12.857142857142858,0.0,578.5714285714286,0.0,578.5714285714286,90,1823.4855555555555
75,Монополия,811,7,225,518.0,41.85714285714285,12264.142857142857,6132.071428571428,6132.07,18396.214285714286,586,1823.4855555555555
75,Совершенная конкуренция,811,7,225,225.0,83.71428571428571,0.0,24528.285714285717,0.0,24528.285714285717,586,1823.4855555555555
76,Монополия,685,5,244,464.5,44.1,9724.05,4862.025,4862.02,14586.075,441,3511.906363636364
76,Совершенная конкуренция,685,5,244,244.0,88.2,0.0,19448.1,0.0,19448.1,441,3511.906363636364
77,Монополия,598,7,240,419.0,25.571428571428573,4577.285714285715,2288.6428571428573,2288.64,6865.9285714285725,358,1823.4855555555555
77,Совершенная конкуренция,598,7,240,240.0,51.142857142857146,0.0,9154.57142857143,0.0,9154.57142857143,358,1823.4855555555555
78,Монополия,536,2,334,435.0,50.5,5100.5,2550.25,2550.25,7650.75,202,5586.831
78,Совершенная конкуренция,536,2,334,334.0,101.0,0.0,10201.0,0.0,10201.0,202,5586.831
79,Монополия,738,9,119,428.5,34.388888888888886,10643.361111111111,5321.680555555556,5321.68,15965.041666666668,619,2026.6143749999999
79,Совершенная конкуренция,738,9,119,119.0,68.77777777777777,0.0,21286.722222222223,0.0,21286.722222222223,619,2026.6143749999999
80,Монополия,801,5,124,462.5,67.7,22916.45,11458.225,11458.22,34374.675,677,3511.906363636364
80,Совершенная конкуренция,801,5,124,124.0,135.4,0.0,45832.9,0.0,45832.9,677,3511.906363636364
81,Монополия,964,9,182,573.0,43.44444444444444,16986.777777777777,8493.388888888889,8493.39,25480.166666666664,782,2026.6143749999999
81,Совершенная конкуренция,964,9,182,182.0,86.88888888888889,0.0,33973.555555555555,0.0,33973.555555555555,782,2026.6143749999999
82,Монополия,662,2,245,453.5,104.25,21736.125,10868.0625,10868.06,32604.1875,417,5586.831
82,Совершенная конкуренция,662,2,245,245.0,208.5,0.0,43472.25,0.0,43472.25,417,5586.831
83,Монополия,496,5,301,398.5,19.5,1901.25,950.625,950.62,2851.875,195,3511.906363636364
83,Совершенная конкуренция,496,5,301,301.0,39.0,0.0,3802.5,0.0,3802.5,195,3511.906363636364
84,Монополия,899,7,247,573.0,46.57142857142857,15182.285714285714,7591.142857142857,7591.14,22773.42857142857,652,1823.4855555555555
84,Совершенная конкуренция,899,7,247,247.0,93.14285714285714,0.0,30364.571428571428,0.0,30364.571428571428,652,1823.4855555555555
85,Монополия,777,5,232,504.5,54.5,14851.25,7425.625,7425.62,22276.875,545,3511.906363636364
85,Совершенная конкуренция,777,5,232,232.0,109.0,0.0,29702.5,0.0,29702.5,545,3511.906363636364
86,Монополия,820,5,381,600.5,43.9,9636.05,4818.025,4818.02,14454.075,439,3511.906363636364
86,Совершенная конкуренция,820,5,381,381.0,87.8,0.0,19272.1,0.0,19272.1,439,3511.906363636364
87,Монополия,458,2,148,303.0,77.5,12012.5,6006.25,6006.25,18018.75,310,5586.831
87,Совершенная конкуренция,458,2,148,148.0,155.0,0.0,24025.0,0.0,24025.0,310,5586.831
88,Монополия,587,4,271,429.0,39.5,6241.0,3120.5,3120.5,9361.5,316,2732.777307692308
88,Совершенная конкуренция,587,4,271,271.0,79.0,0.0,12482.0,0.0,12482.0,316,2732.777307692308
89,Монополия,860,3,262,561.0,99.66666666666669,29800.33333333333,14900.166666666666,14900.17,44700.5,598,6940.681
89,Совершенная конкуренция,860,3,262,262.0,199.33333333333331,0.0,59600.66666666666,0.0,59600.66666666666,598,6940.681
90,Монополия,899,3,242,570.5,109.5,35970.75,17985.375,17985.38,53956.125,657,6940.681
90,Совершенная конкуренция,899,3,242,242.0,219.0,0.0,71941.5,0.0,71941.5,657,6940.681
91,Монополия,661,7,342,501.5,22.785714285714285,3634.321428571429,1817.1607142857144,1817.16,5451.482142857143,319,1823.4855555555555
91,Совершенная конкуренция,661,7,342,342.0,45.57142857142857,0.0,7268.642857142857,0.0,7268.642857142857,319,1823.4855555555555
92,Монополия,882,6,180,531.0,58.5,20533.5,10266.75,10266.75,30800.25,702,2757.4866666666667
92,Совершенная конкуренция,882,6,180,180.0,117.0,0.0,41067.0,0.0,41067.0,702,2757.4866666666667
93,Монополия,905,6,386,645.5,43.25,11223.375,5611.6875,5611.69,16835.0625,519,2757.4866666666667
93,Совершенная конкуренция,905,6,386,386.0,86.5,0.0,22446.75,0.0,22446.75,519,2757.4866666666667
94,Монополия,632,4,199,415.5,54.125,11718.0625,5859.03125,5859.03,17577.09375,433,2732.777307692308
94,Совершенная конкуренция,632,4,199,199.0,108.25,0.0,23436.125,0.0,23436.125,433,2732.777307692308
95,Монополия,938,9,263,600.5,37.5,12656.25,6328.125,6328.12,18984.375,675,2026.6143749999999
95,Совершенная конкуренция,938,9,263,263.0,75.0,0.0,25312.5,0.0,25312.5,675,2026.6143749999999
96,Монополия,572,1,256,414.0,158.0,24964.0,12482.0,12482.0,37446.0,316,15410.390909090907
96,Совершенная конкуренция,572,1,256,256.0,316.0,0.0,49928.0,0.0,49928.0,316,15410.390909090907
97,Монополия,543,4,354,448.5,23.625,2232.5625,1116.28125,1116.28,3348.84375,189,2732.777307692308
97,Совершенная конкуренция,543,4,354,354.0,47.25,0.0,4465.125,0.0,4465.125,189,2732.777307692308
98,Монополия,809,2,231,520.0,144.5,41760.5,20880.25,20880.25,62640.75,578,5586.831
98,Совершенная конкуренция,809,2,231,231.0,289.0,0.0,83521.0,0.0,83521.0,578,5586.831
99,Монополия,782,4,185,483.5,74.625,22275.5625,11137.78125,11137.78,33413.34375,597,2732.777307692308
99,Совершенная конкуренция,782,4,185,185.0,149.25,0.0,44551.125,0.0,44551.125,597,2732.777307692308
100,Монополия,483,9,106,294.5,20.944444444444443,3948.027777777778,1974.013888888889,1974.01,5922.041666666667,377,2026.6143749999999
100,Совершенная конкуренция,483,9,106,106.0,41.888888888888886,0.0,7896.055555555556,0.0,7896.055555555556,377,2026.6143749999999
