market_id,demand_intercept,demand_slope,marginal_costs,price,quantity,ps,cs,dwl,sw
82,662,2,245,245,208.5,0,43472.25,0,43472.25
83,496,5,301,301,39.0,0,3802.5,0,3802.5
84,899,7,247,247,93.14,0,30364.57,0,30364.57
85,777,5,232,232,109.0,0,29702.5,0,29702.5
86,820,5,381,381,87.8,0,19272.1,0,19272.1
87,458,2,148,148,155.0,0,24025.0,0,24025.0
88,587,4,271,271,79.0,0,12482.0,0,12482.0
89,860,3,262,262,199.33,0,59600.67,0,59600.67
90,899,3,242,242,219.0,0,71941.5,0,71941.5
91,661,7,342,342,45.57,0,7268.64,0,7268.64
92,882,6,180,180,117.0,0,41067.0,0,41067.0
93,905,6,386,386,86.5,0,22446.75,0,22446.75
94,632,4,199,199,108.25,0,23436.12,0,23436.12
95,938,9,263,263,75.0,0,25312.5,0,25312.5
96,572,1,256,256,316.0,0,49928.0,0,49928.0
97,543,4,354,354,47.25,0,4465.12,0,4465.12
98,809,2,231,231,289.0,0,83521.0,0,83521.0
99,782,4,185,185,149.25,0,44551.12,0,44551.12
100,483,9,106,106,41.89,0,7896.06,0,7896.06
